Gene,Count
ABCA13,48
AFF2,43
ATM,40
ATP2B3,43
C20orf80,40
CACNA1A,68
CACNA1C,70
CACNA1G,61
CDH1,60
CHD4,52
CIT,41
CSMD1,66
CSMD2,47
DMD,128
DNAH10,40
DNAH3,40
DST,39
FAT3,69
FLG,45
FRG1B,40
GATA3,71
GOLGA6L2,64
HRNR,40
ITPR1,39
MAP3K1,175
MED12,48
MEF2A,42
MGAM,43
MLL3,144
MT-CO1,56
MT-CYB,52
MT-ND4,48
MT-ND5,44
MUC12,59
MUC16,189
MUC2,56
MUC4,114
MUC5AC,49
MUC5B,49
MXRA5,44
MYCBP2,42
NCOR2,64
NEB,79
NF1,44
OBSCN,131
PCDH15,40
PDE4D,42
PIK3CA,566
PIK3R1,61
PLCE1,39
PLEC,63
PLXNA4,47
PTPRB,41
PTPRD,58
RAPGEF6,41
RYR2,47
RYR3,43
SYNE1,122
TP53,1130
TTN,687
USH2A,45
